Ngay,Nhiet do,Nang,Mua
23/04/2016,25.6,4.2,3.8
24/04/2016,28,9.2,0
25/04/2016,28.1,8.1,0
26/04/2016,29.8,9,0
27/04/2016,30.2,8.7,0
28/04/2016,27.6,0,0
29/04/2016,26.7,0.5,4.7
30/04/2016,26.8,5.1,2.4
01/05/2016,28.6,11,0
02/05/2016,28.6,8.1,3.3
03/05/2016,29.1,6.7,0
04/05/2016,28.5,6.8,0
05/05/2016,29,6.9,0.2
06/05/2016,29.8,10.8,0
07/05/2016,30.5,10.4,0
08/05/2016,29.6,10.5,0
09/05/2016,30.2,9.8,0
10/05/2016,30.8,8.8,0
11/05/2016,29,1.7,0
12/05/2016,29.1,6.1,0
13/05/2016,25.7,0,21.6
14/05/2016,26.3,10.6,0
15/05/2016,27.6,9.3,0
16/05/2016,25.2,1.5,0.4
17/05/2016,25,10.6,0
18/05/2016,27.4,9.1,0
19/05/2016,28,9.2,2.6
20/05/2016,30,4.3,0
21/05/2016,29.1,2,0
22/05/2016,27.9,1.7,0
23/05/2016,28.1,4.9,0.6
24/05/2016,28.3,8.8,13.6
25/05/2016,28.2,5.6,14.3
26/05/2016,28.3,7.4,12.8
27/05/2016,29.5,7.9,0
28/05/2016,29.7,5.3,11.6
29/05/2016,29.5,4.4,0
30/05/2016,29.7,8.7,0
31/05/2016,28.8,9.1,27
01/06/2016,30,10.2,0
02/06/2016,30.4,10.5,0
03/06/2016,29.3,8.3,10.8
04/06/2016,29.8,7.8,0.3
05/06/2016,29.4,8.5,6.2
06/06/2016,29.4,11.5,0
07/06/2016,28.5,5.6,34.5
08/06/2016,28.7,3.1,0.5
09/06/2016,29.7,2.5,0
10/06/2016,30.1,6.3,0
11/06/2016,30.3,10,0
12/06/2016,30.5,10.6,0
13/06/2016,31.2,11.8,0
14/06/2016,31,11.2,0
15/06/2016,30.3,11.4,0
16/06/2016,30.3,10.2,0
17/06/2016,28.9,9.1,0.5
18/06/2016,29,10.5,0
19/06/2016,30,10.9,0
20/06/2016,30.5,10.7,0
21/06/2016,29.3,9,0
22/06/2016,28.6,9.5,0
23/06/2016,28.8,9.7,3.1
24/06/2016,28.5,7.4,0
25/06/2016,28.5,2.7,4
26/06/2016,28.1,5.5,0
27/06/2016,28,8.3,27.7
28/06/2016,27.5,4.1,12.7
29/06/2016,28.1,3.6,0.5
30/06/2016,29.2,8.9,1.6
01/07/2016,29.8,9.4,0
02/07/2016,30,8.4,0
03/07/2016,29.9,7.9,0
04/07/2016,29.6,1.8,0
05/07/2016,26.5,0,21
06/07/2016,26.7,0.5,54.1
07/07/2016,27.4,8.7,1.5
08/07/2016,28.7,8.3,0.5
09/07/2016,29.9,11.6,0
10/07/2016,30.3,11.3,0
11/07/2016,30.8,12,0
12/07/2016,30.2,8.3,0
13/07/2016,28.8,4,0
14/07/2016,30,11.6,0
15/07/2016,30.3,11.6,0
16/07/2016,29.6,11.5,2
17/07/2016,28.9,10.9,0.9
18/07/2016,29.9,10.6,0
19/07/2016,29.3,11.1,0
20/07/2016,28.7,10.2,0
21/07/2016,29.2,8.6,0
22/07/2016,29.1,11.8,0
23/07/2016,28.4,5.1,0
24/07/2016,29.7,9.8,0
25/07/2016,29.9,11,0
26/07/2016,29.7,9.8,0
27/07/2016,28.3,0,0.4
28/07/2016,27.8,8.2,4
29/07/2016,28.4,11.3,0
30/07/2016,28.9,11.1,0
31/07/2016,29.6,11.3,0
01/08/2016,29.7,10.7,0
02/08/2016,30.6,8,0
03/08/2016,29.6,9,0
04/08/2016,28.3,7.4,0.5
05/08/2016,29,7.6,44
06/08/2016,28.7,8.5,0
07/08/2016,30.3,11.6,0
08/08/2016,30.3,8.6,0
09/08/2016,30.4,10.6,0
10/08/2016,31,10.6,0
11/08/2016,31.7,9.5,0
12/08/2016,29.8,2.3,0
13/08/2016,30,3,0
14/08/2016,29.8,5.5,1.3
15/08/2016,29.7,4.9,0
16/08/2016,30,3.6,0
17/08/2016,29.7,0,0
18/08/2016,29,0.1,2.6
19/08/2016,31.1,0.6,0
20/08/2016,30.4,10.6,0
21/08/2016,27.6,7.9,25.3
22/08/2016,27.8,5.7,23
23/08/2016,27.5,6.9,0.1
24/08/2016,25.7,1.7,51.4
25/08/2016,26.8,5.9,7.9
26/08/2016,28.6,8.5,0.3
27/08/2016,29.1,6.2,0
28/08/2016,28.5,6.7,1.6
29/08/2016,27.5,5,6.1
30/08/2016,28,6.4,1.8
31/08/2016,29.5,4.6,0
01/09/2016,29.5,4.1,0
02/09/2016,30.2,5.9,0
03/09/2016,29.8,6.8,0
04/09/2016,30.1,6.4,0
05/09/2016,28.3,0,0
06/09/2016,28.5,6.5,4.9
07/09/2016,27.4,3.9,4.8
08/09/2016,28.3,10,0
09/09/2016,28.6,10,0
10/09/2016,28.8,9.6,0
11/09/2016,27.8,5.3,0
12/09/2016,25.5,0.1,26.5
13/09/2016,28.4,7.1,113.7
14/09/2016,27.9,9.7,1.3
15/09/2016,28.9,9.9,0
16/09/2016,28.4,9.9,0
17/09/2016,27.9,5.7,0
18/09/2016,26.9,1.3,12.6
19/09/2016,27.9,6.2,8.1
20/09/2016,27.2,2.6,0.3
21/09/2016,24.8,0,307.9
22/09/2016,24.8,0,159.2
23/09/2016,26.3,0.3,2
24/09/2016,26.8,1.5,12.3
25/09/2016,27.5,6.7,0.5
26/09/2016,27.6,5.5,1.8
27/09/2016,27.6,10.6,0
28/09/2016,28.4,10.5,0
29/09/2016,27.8,3.6,6
30/09/2016,27.3,4.2,0
01/10/2016,26.9,6,0
02/10/2016,25.8,3.4,0
03/10/2016,26.5,1.1,3.5
04/10/2016,27.3,4.1,0
05/10/2016,27,3,9.1
06/10/2016,25.6,0.1,36.5
07/10/2016,26.2,4.4,21.9
08/10/2016,25.6,0.9,37.1
09/10/2016,27.1,8.2,10
10/10/2016,26.8,6.2,13.7
11/10/2016,25.7,1.7,30.6
12/10/2016,25.5,0.4,31.9
13/10/2016,25.6,0,66.3
14/10/2016,26.7,1.9,186.4
15/10/2016,26.3,0.2,8.7
16/10/2016,26.3,3,54.7
17/10/2016,26.6,1.2,4.3
18/10/2016,26.8,1,4.4
19/10/2016,26.7,4.1,0
20/10/2016,27.3,8.4,0
21/10/2016,27.7,7.3,0
22/10/2016,28,9.8,0
23/10/2016,28.4,7.9,0
24/10/2016,27.3,5.6,0
25/10/2016,27.7,7,0
26/10/2016,26.4,0.1,2.2
27/10/2016,27.1,9.6,17.5
28/10/2016,26.3,10.5,0
29/10/2016,26.3,9.5,6.1
30/10/2016,25.3,2.8,34.9
31/10/2016,25.5,2.1,38.8
01/11/2016,27.1,0,58.5
02/11/2016,26.3,0.5,45.1
03/11/2016,25.6,0,0.3
04/11/2016,23.8,0.9,7
05/11/2016,24.8,3.4,0.2
06/11/2016,25.7,2.7,26.9
07/11/2016,27.1,3.8,19.7
08/11/2016,26.6,1.5,66.3
09/11/2016,27.2,4.3,11.7
10/11/2016,22.2,1.1,0.7
11/11/2016,20.9,0,10.6
12/11/2016,24,3.7,0.4
13/11/2016,25.6,8.5,0
14/11/2016,26.4,9.7,0
15/11/2016,25.6,9.5,0
16/11/2016,24.7,9.2,0
17/11/2016,24.9,0,12.3
18/11/2016,25.3,2,62.2
19/11/2016,25.8,1.9,3.9
20/11/2016,26,1.8,15.6
21/11/2016,26.2,4,6
22/11/2016,26.8,2.6,0
23/11/2016,26.1,4,31
24/11/2016,24.9,0,42.3
25/11/2016,22.2,0,29
26/11/2016,22.1,0,30.7
27/11/2016,19.7,0,23.8
28/11/2016,21,1.1,0.2
29/11/2016,21.6,0.1,5
30/11/2016,21.7,0,67.9
01/12/2016,20,0,124
02/12/2016,19.8,0,39.6
03/12/2016,21.3,0,160.4
04/12/2016,22,0,13.2
05/12/2016,22.5,0.8,16.2
06/12/2016,22.4,0.7,10.9
07/12/2016,21,0,37.4
08/12/2016,20.1,0,63.4
09/12/2016,20.6,1.2,1.6
10/12/2016,20.8,2.5,0
11/12/2016,20.8,0,12.7
12/12/2016,22.5,0,10.7
13/12/2016,23.2,0,123.4
14/12/2016,23.4,0,56.7
15/12/2016,22.3,0,190.7
16/12/2016,20.4,0,116.7
17/12/2016,17.7,0,11.7
18/12/2016,19.7,0,7.6
19/12/2016,21.8,0,3.2
20/12/2016,23.4,0.2,11.6
21/12/2016,23.8,2.1,1.7
22/12/2016,24,1.3,2.5
23/12/2016,23.1,1.8,10.8
24/12/2016,21.1,0,21.5
25/12/2016,22.9,4.5,1.2
26/12/2016,23.1,5.9,0.1
27/12/2016,20.9,0,31.3
28/12/2016,17.8,0,61.1
29/12/2016,17.3,0,21.4
30/12/2016,17.6,0,10.6
31/12/2016,18.1,0,45.4
01/01/2017,18.4,0,39.5
02/01/2017,19.8,0,19.8
03/01/2017,22.6,6,4.4
04/01/2017,22,0,0.5
05/01/2017,22.8,0.1,11.1
06/01/2017,22.7,2.6,1
07/01/2017,22.8,0.9,0
08/01/2017,23.3,0.4,0.2
09/01/2017,23.2,2.5,1.3
10/01/2017,23.3,1.2,0.2
11/01/2017,24.4,7.2,0
12/01/2017,24.3,7.9,0
13/01/2017,19.5,0,3.4
14/01/2017,19.5,0,1.4
15/01/2017,20.1,0,10.2
16/01/2017,20.3,0,9.3
17/01/2017,20.8,0,0.5
18/01/2017,21.3,6.5,0
19/01/2017,22.6,5.3,0
20/01/2017,23.1,2.9,0
21/01/2017,22.8,0.1,2
22/01/2017,22.2,0,3.4
23/01/2017,19.3,0,2.3
24/01/2017,18.3,0,22.5
25/01/2017,20,0,88.8
26/01/2017,21.9,0.8,19.8
27/01/2017,20.9,8.7,0.1
28/01/2017,20,8.4,0
29/01/2017,20.8,8.7,0
30/01/2017,20.7,6,0
31/01/2017,20.5,4.3,0
01/02/2017,21.5,0,16
02/02/2017,22.4,0,3.6
03/02/2017,22.1,0,8.2
04/02/2017,23,2.6,2.9
05/02/2017,22.6,8.2,0
06/02/2017,21,10.2,0
07/02/2017,20.6,10.3,0.1
08/02/2017,21.3,9.7,0
09/02/2017,19.9,0.6,48.2
10/02/2017,17.7,0,7.4
11/02/2017,17.7,0,58.9
12/02/2017,16.7,0,39.4
13/02/2017,17.3,0,1.6
14/02/2017,19.6,0.7,0.4
15/02/2017,21.4,0.2,2.3
16/02/2017,20.1,9.8,0
17/02/2017,20.1,9.6,0
18/02/2017,20.2,4.6,0.2
19/02/2017,20.4,7.2,0
20/02/2017,22.5,9.8,0
21/02/2017,23.5,9.6,0
22/02/2017,24.6,7.5,0
23/02/2017,24.4,0.2,0
24/02/2017,21.6,0,1.2
25/02/2017,18.8,0,4.4
26/02/2017,17.7,0,4.6
27/02/2017,17.3,0,4.7
28/02/2017,18.8,0.2,1.1
01/03/2017,20.8,4.4,0
02/03/2017,19.2,0,7.5
03/03/2017,20.5,9,0
04/03/2017,21,10.2,0
05/03/2017,22.3,10.4,0
06/03/2017,22.1,3,0
07/03/2017,22.7,9.2,0
08/03/2017,22.6,1.9,0
09/03/2017,21.1,0.3,1
10/03/2017,23.7,8.1,0
11/03/2017,23.9,7.4,0
12/03/2017,25.1,5.5,0
13/03/2017,27,8.6,0
14/03/2017,25.1,0.3,0
15/03/2017,25.7,6.1,0
16/03/2017,26.1,5,0
17/03/2017,25.3,0.2,0.3
18/03/2017,25.8,4.9,0.7
19/03/2017,25.1,2.9,0
20/03/2017,26,8.6,0
21/03/2017,25,3.4,3.3
22/03/2017,25.3,8.3,0
23/03/2017,25.7,9,0
24/03/2017,26.3,5.1,0
25/03/2017,26,3.3,0
26/03/2017,21.5,0,3.7
27/03/2017,19,0,6.9
28/03/2017,19.8,0.3,2.2
29/03/2017,21.6,0.6,1.8
30/03/2017,24.3,4.3,0
31/03/2017,24.4,4.8,19.9
01/04/2017,21.2,2.6,1.5
02/04/2017,19.4,0,3.1
03/04/2017,21.6,0.3,0.5
04/04/2017,23.6,5.5,0
05/04/2017,24.4,3.4,0.2
06/04/2017,25.6,5.7,0
07/04/2017,27,8.2,0
08/04/2017,28,8.7,0
09/04/2017,28.2,8,0
10/04/2017,29.7,10.6,0
11/04/2017,30.6,10.5,0
12/04/2017,27.6,5.7,0.2
13/04/2017,22.6,0.2,1.9
14/04/2017,23.9,0.1,1.1
15/04/2017,26.4,9.7,0
16/04/2017,26.8,8.2,0
17/04/2017,26.6,9.3,0
18/04/2017,28.3,9.2,0
19/04/2017,28.5,9.7,0
20/04/2017,28.4,10.2,0
21/04/2017,29.1,11.1,0
22/04/2017,25,0,3.2
23/04/2017,23.9,0,0
24/04/2017,24.3,2.7,0
25/04/2017,26,6.5,1.3
26/04/2017,27.3,8,0
27/04/2017,27.3,7.9,0
28/04/2017,23,0,11
29/04/2017,22.6,0,6.3
30/04/2017,26,7.8,0
01/05/2017,28.5,11.2,0
02/05/2017,29.7,8.9,0
03/05/2017,30.5,10.8,0
04/05/2017,29.7,8.3,0
05/05/2017,26.5,0.2,0.4
06/05/2017,27.6,8.1,0
07/05/2017,27.4,6.6,0
08/05/2017,27.4,7.7,1.9
09/05/2017,27.6,6.9,5.7
10/05/2017,27.3,7.1,0.8
11/05/2017,28,7.3,0
12/05/2017,28.6,8.9,0
13/05/2017,27.5,3.6,5.8
14/05/2017,27.4,8,0
15/05/2017,28.3,7.3,1
16/05/2017,26,0.4,46.8
17/05/2017,26.1,5.9,0
18/05/2017,27.1,3.7,0.7
19/05/2017,26.6,2.4,8.2
20/05/2017,27.6,3.7,0
21/05/2017,29.6,10.2,0
22/05/2017,29.7,9.7,0
23/05/2017,29.2,7.8,8
24/05/2017,28.9,8.1,4
25/05/2017,26.7,0,0.4
26/05/2017,24.3,0,131.6
27/05/2017,24.4,0,0
28/05/2017,24.5,0,1.6
29/05/2017,25.5,0,1.6
30/05/2017,27.3,5.2,1.6
31/05/2017,28.7,11.4,11.4
01/06/2017,30.2,11.7,0
02/06/2017,31.1,11.6,0
03/06/2017,31.6,12,0
04/06/2017,31.8,12,0
05/06/2017,30.9,12,0
06/06/2017,29.8,11.2,11.3
07/06/2017,28,3.5,52.5
08/06/2017,26.5,2.5,15
09/06/2017,27.5,6.6,4.2
10/06/2017,28.5,6.6,0
11/06/2017,29,9,0
12/06/2017,29.6,8.9,0
13/06/2017,30.2,9.4,0
14/06/2017,29,8,11.1
15/06/2017,29.7,11.7,0
16/06/2017,30.4,11.8,0
17/06/2017,30.4,8.1,0
18/06/2017,28.4,0.5,0
19/06/2017,29.3,1.3,0
20/06/2017,29.4,5.5,0
21/06/2017,29.7,11.1,0
22/06/2017,30.1,10.3,0
23/06/2017,30.1,11.9,0
24/06/2017,28.8,8.5,0
25/06/2017,28.8,9.7,0
26/06/2017,29.3,10.2,1.1
27/06/2017,29.4,11.3,0
28/06/2017,28.7,9.4,0
29/06/2017,28.4,8.7,3.3
30/06/2017,27.9,7.1,7.9
01/07/2017,29.7,9.6,0
02/07/2017,29.7,7.6,0
03/07/2017,29.6,6.2,0
04/07/2017,29.5,7.3,0
05/07/2017,28.2,7.8,10.6
06/07/2017,27.9,4.3,3.4
07/07/2017,29.4,6.4,0
08/07/2017,29.9,11.2,0
09/07/2017,29.2,10.2,0
10/07/2017,29.4,11.1,0
11/07/2017,28.3,8.5,14.4
12/07/2017,27.6,6.3,4.5
13/07/2017,27.1,4.8,30.7
14/07/2017,28.1,8.7,0
15/07/2017,28.4,6.5,1.3
16/07/2017,25.1,0,63.1
17/07/2017,27.4,0.5,7.5
18/07/2017,27.9,7.9,13.5
19/07/2017,27.3,7,20.1
20/07/2017,27.8,8.3,0
21/07/2017,27.9,11.3,0
22/07/2017,27.7,10.2,2.8
23/07/2017,27,0.5,1.3
24/07/2017,27.8,0.2,0.5
25/07/2017,25.3,0,147
26/07/2017,26.4,1.5,4.3
27/07/2017,27.5,3.4,0.3
28/07/2017,27.2,5.7,34
29/07/2017,28.3,4,0
30/07/2017,29.3,10.2,0
31/07/2017,29.9,7.3,0
01/08/2017,30.4,8.6,0
02/08/2017,30.8,11.6,0
03/08/2017,30.6,11.1,0
04/08/2017,30.2,11,0
05/08/2017,29.7,3.4,0
06/08/2017,29,6.1,5.5
07/08/2017,29,7.9,1.1
08/08/2017,30.2,10.2,0
09/08/2017,29.4,11.1,0
10/08/2017,30.2,11.7,0
11/08/2017,30.2,11,0
12/08/2017,30.5,11.3,0
13/08/2017,29.1,10.7,4.6
14/08/2017,29.4,10.2,0
15/08/2017,29.5,8.2,0
16/08/2017,28.9,2.9,0
17/08/2017,29.1,10.6,0
18/08/2017,26.8,5.2,7.1
19/08/2017,27.4,3.7,5.6
20/08/2017,28.2,11.4,0
21/08/2017,28.4,11,0
22/08/2017,29.7,8.2,0
23/08/2017,30.3,8,0
24/08/2017,29.2,5.7,0
25/08/2017,27.7,4.7,4.3
26/08/2017,25,0,50.7
27/08/2017,26.2,4.1,6.2
28/08/2017,26.3,4.9,35.1
29/08/2017,26.6,0,9.7
30/08/2017,27.4,8.4,4
31/08/2017,27.6,5.5,0
01/09/2017,28.7,10.7,0
02/09/2017,29,11.1,22.3
03/09/2017,29.5,10.3,0
04/09/2017,29.9,8,0
05/09/2017,29.6,8,0
06/09/2017,29.1,10.7,0
07/09/2017,28.2,4.9,9.7
08/09/2017,28.4,10.5,0
09/09/2017,28.6,8.1,0
10/09/2017,28.9,10.6,0
11/09/2017,28.7,10.7,0
12/09/2017,28.7,10.7,0
13/09/2017,27.9,6.2,4.9
14/09/2017,25.5,0,48.7
15/09/2017,25.9,0,123.3
16/09/2017,27.4,5.5,0
17/09/2017,27.6,7.9,0
18/09/2017,28.3,9.5,0
19/09/2017,29.3,10.8,0
20/09/2017,28.7,10.1,0
21/09/2017,27.6,7,0
22/09/2017,27.5,7,0.1
23/09/2017,26.7,3.1,1.8
24/09/2017,27.2,1.6,0.1
25/09/2017,27.7,5.4,4.5
26/09/2017,27.9,9.6,0.1
27/09/2017,28.1,9.1,0
28/09/2017,27.4,3.6,1
29/09/2017,27.5,6.9,0
30/09/2017,28.2,8.1,0
01/10/2017,27.6,9.5,0
02/10/2017,25.6,0,21.7
03/10/2017,26.4,5,1.9
04/10/2017,27.8,3.2,0
05/10/2017,26.8,4.2,1.2
06/10/2017,25.8,0,1.3
07/10/2017,27,6.3,0
08/10/2017,26.9,7,19.6
09/10/2017,25.4,0,100.1
10/10/2017,27.3,7.6,4
11/10/2017,26.9,0.8,0
12/10/2017,26,2.1,11.5
13/10/2017,26.9,9.7,0.2
14/10/2017,26.9,8.6,0
15/10/2017,25.7,1,3
16/10/2017,24.9,0.2,0
17/10/2017,23.1,0,0
18/10/2017,23,0,11.9
19/10/2017,24.1,0,42.8
20/10/2017,25.2,0.3,4.2
21/10/2017,25.6,9.5,0
22/10/2017,24.7,0.3,0.3
23/10/2017,24.1,3.9,5.7
24/10/2017,22.9,1,35.7
25/10/2017,24.5,3.7,2.8
26/10/2017,23.9,1.1,1.1
27/10/2017,23.8,3.4,0.5
28/10/2017,23.9,5,0.6
29/10/2017,23.1,3.8,0
30/10/2017,23.3,0.9,87.1
31/10/2017,22.4,0,27.3
01/11/2017,23.3,0,53.1
02/11/2017,23.7,7.9,6.1
03/11/2017,23,2.4,0.7
04/11/2017,22.6,0,103.8
05/11/2017,23.7,0,234.1
06/11/2017,21.3,0,28.8
07/11/2017,20.8,0,197.4
08/11/2017,21.5,0,139.9
09/11/2017,24.1,3.2,38.1
10/11/2017,25.9,5.1,22.9
11/11/2017,25.1,3.2,0.2
12/11/2017,24.8,4.5,0
13/11/2017,24.7,3.9,0
14/11/2017,23.7,0,86.4
15/11/2017,24.6,0.9,11
16/11/2017,26.2,7.3,13.5
17/11/2017,26.3,9.6,0
18/11/2017,26.1,8.4,0
19/11/2017,25.9,1.1,9.6
20/11/2017,24.2,0,219.7
21/11/2017,22.4,0,156.2
22/11/2017,21.4,0,138.5
23/11/2017,21,0,172.1
24/11/2017,17.7,0,32.7
25/11/2017,17.3,0,4.2
26/11/2017,17.9,0,11
27/11/2017,18.7,0,16
28/11/2017,20.6,0,19
29/11/2017,22.1,0,32.9
30/11/2017,23.9,6.2,25.1
01/12/2017,24.1,6,0.3
02/12/2017,23,0,48.1
03/12/2017,21.5,0,37.9
04/12/2017,22.5,0,10.3
05/12/2017,21.1,0,19.6
06/12/2017,20.2,0.1,0.2
07/12/2017,22.2,3.8,0
08/12/2017,22.1,0.1,11
09/12/2017,20.4,0,3.6
10/12/2017,20.9,7.3,0.5
11/12/2017,20.4,0.2,0.5
12/12/2017,21.2,0.5,0
13/12/2017,22.1,0.7,0
14/12/2017,23.1,5.9,0
15/12/2017,21.8,0,5.9
16/12/2017,20.7,0,36
17/12/2017,16.8,0,86.3
18/12/2017,16.6,1.8,3.9
19/12/2017,17.5,7,0
20/12/2017,14.9,0,2.6
21/12/2017,16.4,0,6.2
22/12/2017,17,0,1.5
23/12/2017,18.9,0,1.5
24/12/2017,20,0,28.1
25/12/2017,20.3,0.8,8.1
26/12/2017,18.1,0,12.2
27/12/2017,17.5,0,22.9
28/12/2017,17.2,0,12.3
29/12/2017,18.4,0,11.1
30/12/2017,20.7,0,4.3
31/12/2017,20.9,0.3,0.9
01/01/2018,19.7,0,1.6
02/01/2018,20.8,0,2.7
03/01/2018,21.1,0,5.7
04/01/2018,22.4,0,13
05/01/2018,22.1,0,2.4
06/01/2018,23.4,2.5,0.4
07/01/2018,23.9,6.2,0.1
08/01/2018,25.7,9,0
09/01/2018,17.6,0,34.9
10/01/2018,15.5,0,0.3
11/01/2018,14.4,0,3.4
12/01/2018,14.2,0,2.4
13/01/2018,15.4,0,8.8
14/01/2018,16.3,0,11.2
15/01/2018,18.8,0.7,0
16/01/2018,20.4,0.6,0
17/01/2018,20.9,4.7,0
18/01/2018,20.4,5.6,0
19/01/2018,18.7,0,3.9
20/01/2018,20.7,0,2.3
21/01/2018,21.9,2.2,0.2
22/01/2018,22.7,0.6,11.8
23/01/2018,23,0.5,0.2
24/01/2018,23.5,0.3,6.5
25/01/2018,22.5,0,0
26/01/2018,23.2,0,0
27/01/2018,23.3,1.9,6.6
28/01/2018,24.2,7.5,0
29/01/2018,20.3,0,34.2
30/01/2018,16.7,0,0.4
31/01/2018,15.8,0,7.3
01/02/2018,15,0,1.8
02/02/2018,15.2,0,2.2
03/02/2018,14.4,0,8.4
04/02/2018,15.6,0.9,0
05/02/2018,14.6,0,11.4
06/02/2018,14.4,0,0.3
07/02/2018,16,0.8,0
08/02/2018,15.7,0,1.6
09/02/2018,17.8,9.7,0
10/02/2018,19.7,8.7,0
11/02/2018,20.7,0.6,4.6
12/02/2018,17.8,0,7.3
13/02/2018,17.1,0,1.6
14/02/2018,18.4,7.3,0
15/02/2018,20.6,10.2,0
16/02/2018,21.1,5.9,0.1
17/02/2018,22.8,9.6,0
18/02/2018,22,2.5,0
19/02/2018,24.2,7.5,0
20/02/2018,23.8,5.9,0
21/02/2018,23.8,5,0
22/02/2018,24.2,3.9,0
23/02/2018,19.9,0,6.8
24/02/2018,19.2,0,0
25/02/2018,19.8,0,0.6
26/02/2018,19.9,0,1.1
27/02/2018,22.5,7.8,0
28/02/2018,22.9,1.9,0.1
01/03/2018,24.4,4.8,0.3
02/03/2018,25,5.9,0
03/03/2018,26,7.5,0
04/03/2018,26.4,9.2,0
05/03/2018,27.6,8.6,0
06/03/2018,25.4,4.2,0
07/03/2018,24.8,7.3,0
08/03/2018,21.3,0,11.1
09/03/2018,16.7,0,3
10/03/2018,16.9,0,0
11/03/2018,19.9,2.6,0
12/03/2018,22.3,3.6,0
13/03/2018,22.2,5.4,0
14/03/2018,21.6,2.4,0
15/03/2018,23.1,2.6,5.8
16/03/2018,22.4,8,0
17/03/2018,24.6,7.9,0
18/03/2018,25.4,6.5,0
19/03/2018,25,9.1,0
20/03/2018,22.6,0,0.4
21/03/2018,20,0,0
22/03/2018,20,0,0.2
23/03/2018,21.3,7.1,0
24/03/2018,22.6,9.1,0
25/03/2018,23.5,6.6,0
26/03/2018,23.4,5.6,0
27/03/2018,22.9,8.8,0
28/03/2018,23.4,6.6,0
29/03/2018,23.8,3.6,0
30/03/2018,24.8,3.9,0
31/03/2018,23.7,9.1,0
01/04/2018,23,9,0
02/04/2018,23.3,9.8,0
03/04/2018,23.3,10,0
